message,category,label_subtype,contains_link,suspicious_words,sender_trust_score,link_reputation_score,language_type,ai_generated_score
Earn commissions daily by joining our affiliate program. Sign up now.,scam,Promotions/Advertising,0,,49,95,English,0.57
Exclusive investment opportunity — double your money in 7 days.,scam,Promotions/Advertising,0,investment,41,95,English,0.59
Lowest EMI plans available — apply now with zero paperwork!,scam,Promotions/Advertising,0,,50,95,English,0.37
Restore access to your bank account: immediate action required.,scam,Tech Support/Fake Security,0,account;bank,33,95,English,0.4
Account blocked due to suspicious activity. Verify here: bank-alert.info,scam,Tech Support/Fake Security,1,account;bank;blocked;verify,0,7,English,0.66
This is bank security. Confirm the last OTP to keep your account safe.,scam,Tech Support/Fake Security,0,account;bank;otp,31,95,English,0.48
Your device warranty expired. Renew now to avoid penalties.,scam,Tech Support/Fake Security,0,,27,95,English,0.58
Important: Update your GST filing has errors. Click to correct immediately.,scam,Tech Support/Fake Security,0,click,16,95,English,0.74
"Hey, it's me. Can you urgently send money? I'm in hospital.",scam,Relationship/Dating Scam,0,urgent,13,95,English,0.51
I lost my phone and bank card. Please transfer some money for a cab.,scam,Relationship/Dating Scam,0,bank;transfer,14,95,English,0.42
"Please don't tell anyone. I need ₹10,000 for an emergency.",scam,Relationship/Dating Scam,0,emergency,33,95,English,0.61
We matched! Click here to view my private photos.,scam,General Suspicious Links/Clickbait,0,click;click here,28,95,English,0.81
You have a secret admirer—open this link to see who.,scam,General Suspicious Links/Clickbait,0,,28,95,English,0.36
Breaking: Massive layoffs at top company — details inside.,scam,General Suspicious Links/Clickbait,0,,27,95,English,0.48
Claim your tax refund now: govt-refund.claim,scam,Tech Support/Fake Security,1,claim;govt;refund;tax,0,21,English,0.47
Get your COVID relief funds: apply via govt-aid.info,scam,Tech Support/Fake Security,1,govt,3,30,English,0.67
Flash sale: 75% off on brand outlets today only!,scam,Promotions/Advertising,0,,46,95,English,0.38
"You've been pre-approved for a loan of ₹2,00,000. Apply now.",scam,Promotions/Advertising,0,loan,40,95,English,0.57
Limited-time voucher: Free Amazon gift card for new users.,scam,Promotions/Advertising,0,free;gift card;limited;voucher,46,95,English,0.77
Urgent: Friend sent you a video. Click to view: tinyurl.com/fake,scam,General Suspicious Links/Clickbait,1,click;tinyurl;urgent,0,13,English,0.83
Your parcel delivery failed. Verify address: deliver-update.co,scam,Tech Support/Fake Security,1,verify,0,27,English,0.47
Earn passive income — invest in this crypto — limited spots!,scam,Promotions/Advertising,0,crypto;limited,45,95,English,0.58
Congratulations! Your phone number won a prize. Call +91-XXXXXXXXXX,scam,Promotions/Advertising,0,congratulations;prize,27,95,English,0.7
Your email storage is full. Verify to increase quota.,scam,Tech Support/Fake Security,0,verify,18,95,English,0.55
Final notice: Pay your electricity bill to avoid disconnection.,scam,Tech Support/Fake Security,0,pay,35,95,English,0.63
